Date,Open,High,Low,Settle,Volume,Open Interest
2011-12-09,1235.5,1260.5,1228.5,,1143685.0,2388218.0
2011-12-08,1263.75,1272.0,1230.75,,2442801.0,2654178.0
2011-12-07,1255.5,1268.0,1244.0,,2724649.0,2789338.0
2011-12-06,1253.25,1265.75,1245.25,,2187368.0,2789338.0
2011-12-05,1248.0,1266.25,1248.0,,2333966.0,2828861.0
2011-12-02,1243.5,1262.75,1242.0,,2179603.0,2842871.0
2011-12-01,1243.75,1251.0,1235.75,,2110759.0,2879027.0
2011-11-30,1195.0,1246.75,1183.0,,3298494.0,2972939.0
2011-11-29,1190.75,1206.0,1186.25,,3292771.0,2950153.0
2011-11-28,1172.0,1196.25,1169.25,,2362657.0,2987615.0
2011-11-25,1160.0,1171.25,1147.5,,1518196.0,2989734.0
2011-11-24,1160.25,1173.75,1156.0,,2325948.0,2994170.0
2011-11-23,1182.75,1185.0,1158.5,,2322710.0,2981872.0
2011-11-22,1190.75,1199.0,1179.25,,2306860.0,2981872.0
2011-11-21,1208.0,1209.0,1180.5,,2401770.0,2949110.0
2011-11-18,1215.0,1229.75,1208.75,,2178618.0,2948205.0
2011-11-17,1231.25,1241.75,1206.5,,3096973.0,2956121.0
2011-11-16,1254.5,1258.75,1230.5,,2711882.0,2945937.0
2011-11-15,1251.5,1262.25,1234.0,,2243400.0,2924905.0
2011-11-14,1264.25,1270.75,1243.5,,1889071.0,2924794.0
2011-11-11,1237.5,1264.75,1233.75,,1603127.0,2910203.0
2011-11-10,1226.25,1245.0,1218.25,,2584328.0,2878090.0
2011-11-09,1273.25,1274.0,1222.75,,3248837.0,2886130.0
2011-11-08,1257.5,1275.25,1248.5,,2241483.0,2870177.0
2011-11-07,1253.25,1259.5,1232.0,,1982159.0,2841443.0
2011-11-04,1255.75,1258.75,1234.5,,2243027.0,2832228.0
2011-11-03,1234.25,1259.75,1213.5,,2822923.0,2799002.0
2011-11-02,1223.5,1238.75,1216.5,,2264238.0,2810930.0
2011-11-01,1247.5,1248.0,1208.5,,2238819.0,2872959.0
2011-10-31,1280.0,1280.75,1245.25,,2239270.0,2839145.0
2011-10-28,1282.25,1284.25,1272.75,,1932702.0,2839103.0
2011-10-27,1238.0,1289.25,1237.5,,3324091.0,2916640.0
2011-10-26,1225.0,1242.5,1216.5,,2697660.0,2985716.0
